region,employment_status,loan_purpose,home_ownership,annual_income,loan_amount,debt_to_income,credit_score,credit_utilization,past_due_count,credit_inquiries,months_since_last_delinquency,employment_years,account_age_months,num_open_accounts,loan_to_income,high_dti_flag,low_credit_score_flag,high_utilization_flag,recent_delinquency_flag,short_employment_flag,actual_default,predicted_pd,risk_segment
Ontario,Employed,Home improvement,Mortgage,194396.41,28153.86,0.3961,722.0,0.4401,0,1,10.0,0.2,96.5,4,0.1448270572486395,0,0,0,1,1,0,0.012091367940133732,Low Risk
British Columbia,Self-employed,Personal,Rent,201865.21,37533.56,0.3201,776.0,0.2949,0,1,18.3,3.2,37.5,8,0.18593377234244574,0,0,0,0,0,0,0.008413194806439674,Very Low Risk
Alberta,Self-employed,Education,Rent,68825.74,38695.85,0.4303,577.0,0.4705,0,0,69.8,3.1,14.6,4,0.5622293345483825,0,1,0,0,0,0,0.018814383639629284,Medium Risk
Alberta,Employed,Debt consolidation,Own,60586.81,25488.58,0.1518,683.0,0.0486,0,4,13.5,0.0,95.1,6,0.42069519751906403,0,0,0,0,1,0,0.018506004124565698,Medium Risk
British Columbia,Employed,Debt consolidation,Own,89676.16,20516.38,0.4726,810.0,0.3925,0,1,7.0,2.4,68.7,5,0.22878298981579942,1,0,0,1,0,0,0.013625362407584512,Low Risk
Alberta,Part-time,Debt consolidation,Rent,99152.39,16356.06,0.5197,640.0,0.3639,0,1,12.0,0.7,75.8,12,0.1649588073469535,1,0,0,0,1,0,0.09309177893987562,Very High Risk
Alberta,Employed,Personal,Other,86252.95,21619.99,0.2806,623.0,0.3864,0,1,11.9,1.8,137.0,9,0.25065797749526253,0,0,0,1,1,0,0.020548942215822687,Medium Risk
Ontario,Unemployed,Auto,Own,106212.43,10072.23,0.05,816.0,0.2697,0,1,5.5,6.6,69.7,9,0.09483099106196892,0,0,0,1,0,0,0.004645835025318208,Very Low Risk
Alberta,Self-employed,Auto,Own,100433.03,14988.03,0.3109,734.0,0.5554,1,2,11.7,14.1,48.7,7,0.14923407169932043,0,0,0,1,0,0,0.015072099740853018,Low Risk
Ontario,Employed,Education,Mortgage,72481.77,29398.47,0.5817,622.0,0.6997,1,2,2.6,6.7,81.6,3,0.4055981248802285,1,0,0,1,0,0,0.10340432589800387,Very High Risk
