borrower_id,period,region,employment_status,loan_purpose,home_ownership,annual_income,loan_amount,debt_to_income,credit_score,credit_utilization,past_due_count,credit_inquiries,months_since_last_delinquency,employment_years,account_age_months,num_open_accounts,default
B000001,Development,Alberta,Part-time,Debt consolidation,Mortgage,41773.5,55325.12,0.34,668.0,0.6888,2,3,60.8,10.2,80.4,6,0
B000002,Development,Ontario,Employed,Debt consolidation,Rent,85350.61,28260.96,0.2201,714.0,0.538,1,1,46.9,31.4,35.1,14,0
B000003,OOT,Ontario,Employed,Home improvement,Mortgage,194396.41,28153.86,0.3961,722.0,0.4401,0,1,10.0,0.2,96.5,4,0
B000004,Development,Ontario,Employed,Education,Mortgage,76070.33,23497.05,0.3795,786.0,0.614,0,0,9.1,6.5,33.0,8,0
B000005,Development,Quebec,Self-employed,Personal,Rent,90418.69,22724.37,0.6867,848.0,0.5767,1,0,36.8,1.5,29.5,7,0
B000006,OOT,British Columbia,Self-employed,Personal,Rent,201865.21,37533.56,0.3201,776.0,0.2949,0,1,18.3,3.2,37.5,8,0
B000007,Development,Alberta,Employed,Auto,Mortgage,93688.07,31384.51,0.3013,661.0,0.5954,0,1,1.6,7.7,142.4,3,0
B000008,OOT,Alberta,Self-employed,Education,Rent,68825.74,38695.85,0.4303,577.0,0.4705,0,0,69.8,3.1,14.6,4,0
B000009,Development,Ontario,Part-time,Auto,Mortgage,85871.05,34568.57,0.2943,678.0,0.4351,1,1,45.2,10.5,60.0,1,0
B000010,OOT,Alberta,Employed,Debt consolidation,Own,60586.81,25488.58,0.1518,683.0,0.0486,0,4,13.5,0.0,95.1,6,0
B000011,Development,Quebec,Part-time,Personal,Rent,68804.35,36291.68,0.313,635.0,0.0505,0,1,48.6,1.2,3.1,7,0
B000012,Development,Other,Employed,Home improvement,Rent,34036.52,41113.1,0.2619,615.0,0.064,1,1,22.3,1.3,26.7,6,0
B000013,Development,Ontario,Employed,Education,Rent,59996.62,9117.91,0.5219,697.0,0.2711,2,2,16.1,1.3,9.5,5,1
B000014,OOT,British Columbia,Employed,Debt consolidation,Own,89676.16,20516.38,0.4726,810.0,0.3925,0,1,7.0,2.4,68.7,5,0
B000015,Development,British Columbia,Employed,Personal,Mortgage,58458.02,29022.47,0.05,746.0,0.3047,1,1,17.5,1.8,28.7,11,0
B000016,Development,Quebec,Employed,Debt consolidation,Other,135376.06,16336.25,0.3406,814.0,0.4827,1,2,0.8,5.7,27.9,9,0
B000017,Development,British Columbia,Self-employed,Debt consolidation,Other,87478.98,16190.64,0.3426,713.0,0.5582,1,1,9.2,10.4,54.0,6,0
B000018,Development,Ontario,Employed,Debt consolidation,Rent,71279.41,31141.38,0.4483,740.0,0.3469,1,0,45.5,1.1,10.0,9,0
B000019,Development,Other,Employed,Auto,Rent,109039.37,25328.27,0.4454,638.0,0.5653,1,0,28.4,0.2,40.3,8,0
B000020,OOT,Alberta,Part-time,Debt consolidation,Rent,99152.39,16356.06,0.5197,640.0,0.3639,0,1,12.0,0.7,75.8,12,0
B000021,Development,British Columbia,Employed,Debt consolidation,Mortgage,63447.45,14352.04,0.5075,640.0,0.2079,0,2,22.4,4.6,28.5,6,0
B000022,Development,British Columbia,Self-employed,Home improvement,Rent,51760.74,41620.8,0.261,720.0,0.2205,1,0,49.5,2.7,72.2,3,0
B000023,Development,Ontario,Unemployed,Auto,Mortgage,80281.45,50203.3,0.5576,586.0,0.2363,0,0,38.0,4.4,300.0,6,0
B000024,Development,Ontario,Employed,Debt consolidation,Other,45254.48,31870.2,0.115,692.0,0.2671,4,1,4.2,9.5,3.0,5,0
B000025,Development,Quebec,Employed,Education,Mortgage,69336.66,43137.62,0.4881,503.0,0.1442,0,1,3.1,2.4,5.1,4,1
B000026,OOT,Alberta,Employed,Personal,Other,86252.95,21619.99,0.2806,623.0,0.3864,0,1,11.9,1.8,137.0,9,0
B000027,Development,British Columbia,Employed,Debt consolidation,Rent,,21216.0,0.2891,748.0,0.0685,1,3,20.6,0.4,5.7,6,0
B000028,Development,British Columbia,Employed,Home improvement,Mortgage,59571.4,34494.01,0.05,502.0,0.6329,3,0,58.5,4.3,8.7,7,0
B000029,Development,Other,Employed,Personal,Rent,34359.99,25744.59,0.1414,640.0,0.4592,1,1,0.4,,34.3,14,0
B000030,Development,Ontario,Employed,Home improvement,Mortgage,47634.98,20548.68,0.1991,665.0,0.1995,1,3,8.7,4.6,11.3,7,0
B000031,OOT,Ontario,Unemployed,Auto,Own,106212.43,10072.23,0.05,816.0,0.2697,0,1,5.5,6.6,69.7,9,0
B000032,Development,Ontario,Employed,Education,Other,72485.67,19279.86,0.1794,645.0,0.3553,0,2,16.3,13.7,173.2,6,0
B000033,Development,Ontario,Part-time,Auto,Rent,69702.31,17903.18,0.3715,654.0,0.2419,1,1,4.4,3.7,223.2,5,0
B000034,Development,Ontario,Self-employed,Personal,Mortgage,35088.26,23289.04,0.405,738.0,0.8073,0,1,4.6,1.0,109.7,2,0
B000035,Development,Alberta,Part-time,Debt consolidation,Mortgage,41093.81,37176.31,0.0621,850.0,0.7657,2,3,46.3,2.3,10.6,7,0
B000036,Development,Quebec,Employed,Debt consolidation,Mortgage,59462.14,9674.73,0.5156,573.0,0.6207,1,2,39.0,5.6,138.4,7,0
B000037,Development,Other,Employed,Auto,Own,68524.02,23535.53,0.1201,602.0,0.404,0,2,11.7,2.8,50.5,7,0
B000038,Development,Ontario,Self-employed,Education,Own,73154.02,50496.05,0.6254,640.0,0.3886,1,0,65.8,0.7,36.8,6,0
B000039,Development,Alberta,Employed,Debt consolidation,Rent,57013.81,23221.67,0.425,587.0,0.1334,0,1,16.1,2.4,6.6,10,0
B000040,Development,British Columbia,Self-employed,Personal,Rent,79192.99,13845.62,0.1827,703.0,0.7738,0,1,26.5,0.4,21.1,4,0
B000041,OOT,Alberta,Self-employed,Auto,Own,100433.03,14988.03,0.3109,734.0,0.5554,1,2,11.7,14.1,48.7,7,0
B000042,Development,Ontario,Self-employed,Home improvement,Mortgage,76119.47,15970.64,0.2816,743.0,0.5819,1,0,14.5,2.1,25.0,7,0
B000043,Development,Alberta,Employed,Debt consolidation,Rent,77480.49,20963.74,0.487,625.0,0.6089,1,1,96.0,17.0,5.6,3,0
B000044,Development,Alberta,Unemployed,Home improvement,Rent,75207.58,33820.02,0.3884,710.0,0.3368,0,3,26.7,8.2,62.1,6,0
B000045,Development,Ontario,Unemployed,Debt consolidation,Own,70289.05,19275.08,0.2633,624.0,0.4432,0,2,29.9,1.4,101.2,5,0
B000046,Development,Ontario,Part-time,Debt consolidation,Rent,54551.11,31289.64,0.241,507.0,0.0935,0,1,18.9,3.2,68.8,6,0
B000047,Development,Ontario,Employed,Debt consolidation,Rent,47906.87,21727.54,0.1293,648.0,0.6002,1,1,0.2,5.7,99.2,4,0
